,susu_100%,susu_90%,susu_80%,susu_70%,susu_60%
mean_R,198.32194231658488,200.36238877977408,190.28153309340482,183.55498274022872,182.61485824148448
mean_G,188.57078467642492,191.4282302095201,179.24322911132373,172.54321484325015,171.6849235326969
mean_B,171.39795056750876,174.64191296489804,161.3091172323424,154.69854065965583,152.28340212609348
mean_R_cnn,1.15704527,1.1226073399999998,1.2792996600000002,1.16003812,1.3058394400000002
mean_G_cnn,1.163067017,1.137785555,1.2505556599999998,1.1911876600000002,1.30023387
mean_B_cnn,1.1477927970000001,1.13688076,1.2581479500000001,1.1480613339999999,1.23236723
contrast_R,4.23607590390866,4.278465331231997,4.250062902666912,4.414401116080147,4.3035244629790625
dissimilarity_R,1.15704527,1.1226073399999998,1.2792996600000002,1.16003812,1.3058394400000002
homogeneity_R,0.17044026691423544,0.1735204392943403,0.15540788784990828,0.1640698135643222,0.15112065179560633
energy_R,0.00201664351078925,0.0022865240367090896,0.00247578592020631,0.0019779362696773603,0.00212679698455085
correlation_R,0.02973822965588056,0.004494663909278431,-0.07736307925840767,-0.10086484773193277,0.5377069149715851
entropy_R,-114843.13149999999,-111432.95700000001,-131848.891,-118136.5273,-135876.011
contrast_G,4.201260024333341,4.247000516182554,4.228448803591318,4.282474325162722,4.259701183356133
dissimilarity_G,1.163067017,1.137785555,1.2505556599999998,1.1911876600000002,1.30023387
homogeneity_G,0.17082519595846363,0.17273762646277024,0.1590666236061849,0.1646107418010839,0.1529653867689974
energy_G,0.0019911576442572,0.00232037352968231,0.0023983854876488504,0.0019688527498926095,0.00208451249161542
correlation_G,0.1624460325142804,-0.00035288402395361045,-0.03643852944396364,0.014949405920411801,0.45668690411344004
entropy_G,-115002.15959999998,-113009.32580000002,-127401.6624,-120086.11899999999,-134016.0454
contrast_B,4.12062748679042,4.10035536623307,4.040906954888563,4.183012233254721,4.1749102811799315
dissimilarity_B,1.1477927970000001,1.13688076,1.2581479500000001,1.1480613339999999,1.23236723
homogeneity_B,0.17540294889044244,0.17778667094387232,0.1644274112935574,0.17301395844897022,0.16276964571064056
energy_B,0.0019482969477467998,0.0024347236722099,0.00277493764855418,0.00198027803277478,0.0021856438900742696
correlation_B,0.18021932884712483,0.04332331758272372,-0.08456844665944696,0.051770432976984394,0.194157348849775
entropy_B,-111316.19320000001,-109934.4345,-125222.45860000001,-112553.649,-123174.7844
