,susu_100%,susu_90%,susu_80%,susu_70%,susu_60%
mean_R,198.32194231658488,200.36238877977408,190.28153309340482,183.55498274022872,182.61485824148448
mean_G,188.57078467642492,191.4282302095201,179.24322911132373,172.54321484325015,171.6849235326969
mean_B,171.39795056750876,174.64191296489804,161.3091172323424,154.69854065965583,152.28340212609348
mean_R_cnn,1.15704527,1.1226073399999998,1.2792996600000002,1.16003812,1.3058394400000002
mean_G_cnn,1.163067017,1.137785555,1.2505556599999998,1.1911876600000002,1.30023387
mean_B_cnn,1.1477927970000001,1.13688076,1.2581479500000001,1.1480613339999999,1.23236723
contrast_R,4.23607590390866,4.278465331231997,4.250062902666912,4.414401116080147,4.3035244629790625
dissimilarity_R,1.15704527,1.1226073399999998,1.2792996600000002,1.16003812,1.3058394400000002
homogeneity_R,0.17044026691423544,0.1735204392943403,0.15540788784990828,0.1640698135643222,0.15112065179560633
energy_R,25.54562726702009,24.67868241290657,31.195576819595026,27.726592021085775,33.28098318917411
correlation_R,1.0,1.0,1.0,1.0,1.0
entropy_R,-114843.13149999999,-111432.95700000001,-131848.891,-118136.5273,-135876.011
contrast_G,4.201260024333341,4.247000516182554,4.228448803591318,4.282474325162722,4.259701183356133
dissimilarity_G,1.163067017,1.137785555,1.2505556599999998,1.1911876600000002,1.30023387
homogeneity_G,0.17082519595846363,0.17273762646277024,0.1590666236061849,0.1646107418010839,0.1529653867689974
energy_G,25.399932363081952,24.962620700135524,29.529758749202802,27.60498931261958,32.36534996811225
correlation_G,1.0,1.0,1.0,1.0,1.0
entropy_G,-115002.15959999998,-113009.32580000002,-127401.6624,-120086.11899999999,-134016.0454
contrast_B,4.12062748679042,4.10035536623307,4.040906954888563,4.183012233254721,4.1749102811799315
dissimilarity_B,1.1477927970000001,1.13688076,1.2581479500000001,1.1480613339999999,1.23236723
homogeneity_B,0.17540294889044244,0.17778667094387232,0.1644274112935574,0.17301395844897022,0.16276964571064056
energy_B,23.809885328643176,23.259379982461734,27.430483697385206,24.49326695033482,27.98495794802296
correlation_B,1.0,1.0,1.0,0.9999999999999998,1.0
entropy_B,-111316.19320000001,-109934.4345,-125222.45860000001,-112553.649,-123174.7844
